"","Jonathan name","Genus match (may not be exact)","Clade","Family","Subfamily"
"368","Acontias","Acontias","Acontiinae","Scincidae","Acontiinae"
"369","Typhlosaurus","Typhlosaurus","Acontiinae","Scincidae","Acontiinae"
"85","Agama","Agama","Agaminae","Agamidae","Agaminae"
"110","Stellio","Laudakia","Agaminae","Agamidae","Agaminae"
"104","Phrynocephal","Phrynocephalus","Agaminae","Agamidae","Agaminae"
"107","Pseudotrapel","Pseudotrapelus","Agaminae","Agamidae","Agaminae"
"111","Trapelus","Trapelus","Agaminae","Agamidae","Agaminae"
"195","Achalinus","Achalinus","Alethenophidia","Xenodermidae","Xenodermidae"
"196","Acrochordus","Acrochordus","Alethenophidia","Acrochordidae","Acrochordidae"
"197","Agkistrodon","Agkistrodon","Alethenophidia","Viperidae","Crotalinae"
"199","Atheris","Atheris","Alethenophidia","Viperidae","Viperinae"
"200","Atractaspis","Atractaspis","Alethenophidia","Lamprophiidae","Atractaspidinae"
"201","Austrelaps","Austrelaps","Alethenophidia","Elapidae","Elapidae"
"202","Bitis","Bitis","Alethenophidia","Viperidae","Viperinae"
"203","Cerberus","Cerberus","Alethenophidia","Homalopsidae","Homalopsidae"
"204","Charina","Charina","Alethenophidia","Boidae","Ungaliophiinae"
"205","Chironius","Chironius","Alethenophidia","Colubridae","Colubrinae"
"206","Coluber","Coluber","Alethenophidia","Colubridae","Colubrinae"
"207","Crotalus","Crotalus","Alethenophidia","Viperidae","Crotalinae"
"208","Cylindrophis","Cylindrophis","Alethenophidia","Cylindrophiidae","Cylindrophiidae"
"209","Elaphe","Elaphe","Alethenophidia","Colubridae","Colubrinae"
"210","Epicrates","Epicrates","Alethenophidia","Boidae","Boinae"
"211","Eryx","Eryx","Alethenophidia","Boidae","Erycinae"
"212","Heterodon","Heterodon","Alethenophidia","Colubridae","Dipsadinae"
"221","Pelamis","Hydrophis","Alethenophidia","Elapidae","Elapidae"
"213","Laticauda","Laticauda","Alethenophidia","Elapidae","Elapidae"
"214","Liopeltis","Liopeltis","Alethenophidia","Colubridae","Colubrinae"
"215","Loxocemus","Loxocemus","Alethenophidia","Loxocemidae","Loxocemidae"
"216","Naja","Naja","Alethenophidia","Elapidae","Elapidae"
"217","Nerodia","Nerodia","Alethenophidia","Colubridae","Natricinae"
"218","Oligodon","Oligodon","Alethenophidia","Colubridae","Colubrinae"
"219","Opheodrys","Opheodrys","Alethenophidia","Colubridae","Colubrinae"
"220","Oxybelis","Oxybelis","Alethenophidia","Colubridae","Colubrinae"
"231","Zaocys","Ptyas","Alethenophidia","Colubridae","Colubrinae"
"222","Python","Python","Alethenophidia","Pythonidae","Pythonidae"
"223","Rhinophis","Rhinophis","Alethenophidia","Uropeltidae","Uropeltidae"
"224","Sistrurus","Sistrurus","Alethenophidia","Viperidae","Crotalinae"
"225","Storeria","Storeria","Alethenophidia","Colubridae","Natricinae"
"226","Thamnophis","Thamnophis","Alethenophidia","Colubridae","Natricinae"
"228","Vipera","Vipera","Alethenophidia","Viperidae","Viperinae"
"229","Xenodon","Xenodon","Alethenophidia","Colubridae","Dipsadinae"
"230","Xenopeltis","Xenopeltis","Alethenophidia","Xenopeltidae","Xenopeltidae"
"92","Chlamydosaur","Chlamydosaurus","Amphibolurinae","Agamidae","Amphibolurinae"
"87","amphibisolep","Ctenophorus","Amphibolurinae","Agamidae","Amphibolurinae"
"88","amphibnuchal","Ctenophorus","Amphibolurinae","Agamidae","Amphibolurinae"
"94","Diporiphora","Diporiphora","Amphibolurinae","Agamidae","Amphibolurinae"
"98","Hypsilurus","Hypsilurus","Amphibolurinae","Agamidae","Amphibolurinae"
"100","Lophognathus","Lophognathus","Amphibolurinae","Agamidae","Amphibolurinae"
"101","Moloch","Moloch","Amphibolurinae","Agamidae","Amphibolurinae"
"105","Physignathus","Physignathus","Amphibolurinae","Agamidae","Amphibolurinae"
"86","amphibbarbat","Pogona","Amphibolurinae","Agamidae","Amphibolurinae"
"112","Typanocrypti","Tympanocryptis","Amphibolurinae","Agamidae","Amphibolurinae"
"260","Agamodon","Agamodon","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Trogonophiidae","Trogonophiidae"
"261","Amphisbaena","Amphisbaena","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"262","Anops","Amphisbaena","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"270","Leposternon","Amphisbaena","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"263","Bipes","Bipes","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Bipedidae","Bipedidae"
"264","Blanus","Blanus","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Blanidae","Blanidae"
"265","Chirindia","Chirindia","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"266","Cynisca","Cynisca","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"267","Dalophia","Dalophia","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"268","Diplometopon","Diplometopon","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Trogonophiidae","Trogonophiidae"
"269","Geocalamus","Geocalamus","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"271","Loveridgea","Loveridgea","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"272","Monopeltis","Monopeltis","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"273","Trogonophis","Trogonophis","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Trogonophiidae","Trogonophiidae"
"274","Zygaspis","Zygaspis","Amphisbaenidae_Bipedidae_Blanidae_Trogonophiidae","Amphisbaenidae","Amphisbaenidae"
"176","Abronia","Abronia","Anguidae_Anniellidae","Anguidae","Gerrhonotinae"
"177","Anguis","Anguis","Anguidae_Anniellidae","Anguidae","Anguinae"
"178","Anniella","Anniella","Anguidae_Anniellidae","Anniellidae","Anniellidae"
"179","Barisia","Barisia","Anguidae_Anniellidae","Anguidae","Gerrhonotinae"
"180","Celestus","Celestus","Anguidae_Anniellidae","Anguidae","Diploglossinae"
"187","Sauresia","Celestus","Anguidae_Anniellidae","Anguidae","Diploglossinae"
"188","Wetmorena","Celestus","Anguidae_Anniellidae","Anguidae","Diploglossinae"
"181","Diploglossus","Diploglossus","Anguidae_Anniellidae","Anguidae","Diploglossinae"
"182","Elgaria","Elgaria","Anguidae_Anniellidae","Anguidae","Gerrhonotinae"
"183","Gerrhonotus","Gerrhonotus","Anguidae_Anniellidae","Anguidae","Gerrhonotinae"
"184","Mesaspis","Mesaspis","Anguidae_Anniellidae","Anguidae","Gerrhonotinae"
"185","Ophiodes","Ophiodes","Anguidae_Anniellidae","Anguidae","Diploglossinae"
"186","Ophisaurus","Ophisaurus","Anguidae_Anniellidae","Anguidae","Anguinae"
"192","Liotyphlops","Liotyphlops","Anomalepididae","Anomalepididae","Anomalepididae"
"61","Aprasia","Aprasia","Carphodactylidae_Diplodactylidae_Pygopodidae","Pygopodidae","Pygopodidae"
"62","Bavayia","Bavayia","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"63","Crenadactylu","Crenadactylus","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"64","Delma","Delma","Carphodactylidae_Diplodactylidae_Pygopodidae","Pygopodidae","Pygopodidae"
"65","Diplodactylu","Diplodactylus","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"66","Eurydactylod","Eurydactylodes","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"67","Hoplodactylu","Hoplodactylus","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"68","Lialis","Lialis","Carphodactylidae_Diplodactylidae_Pygopodidae","Pygopodidae","Pygopodidae"
"69","Naultinus","Naultinus","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"70","Nephrurus","Nephrurus","Carphodactylidae_Diplodactylidae_Pygopodidae","Carphodactylidae","Carphodactylidae"
"71","Oedura","Oedura","Carphodactylidae_Diplodactylidae_Pygopodidae","Diplodactylidae","Diplodactylidae"
"72","Paradelma","Paradelma","Carphodactylidae_Diplodactylidae_Pygopodidae","Pygopodidae","Pygopodidae"
"73","Phyllurus","Phyllurus","Carphodactylidae_Diplodactylidae_Pygopodidae","Carphodactylidae","Carphodactylidae"
"74","Pygopus","Pygopus","Carphodactylidae_Diplodactylidae_Pygopodidae","Pygopodidae","Pygopodidae"
