Higher Taxon,December 2012,Family,Subfamily
Amphisbaenia,Amphisbaena absaberi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena acrobeles,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena alba,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena albocingulata,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena amazonica,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena anaemariae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena angustifrons,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena anomala,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena arda,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena arenaria,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bahiana,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bakeri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena barbouri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bassleri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bedai,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bilabialatus,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena bolivica,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena borelli,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena brasiliana,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena brevis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena caeca,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena camura,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena carlgansi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena carli,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena carvalhoi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena caudalis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena cayemite,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena cegei,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena cerradensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena crisae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena cubana,Amphisbaenidae,Amphisbaenidae
