NAME$,CLADE,SPECIMEN,SVL,JAWLEN,HEADHEI,JAWWID,BODWID,PECTDEPT,EYELEN,EYEHEI,PECTWID,TAILHEI,TAILWID,TAILLEN,BODKNEE,KNEEANK,FOOT,SHOLELB,ELBWRI,HAND,LONGTOE,TOE4,EARLEN,EARHEI,PADWID,LPADWID,TAILSPIN,BODSPINE,LBODSP,LTAILSPI,HORNLEN,LHORNLEN,FRINGLEN,NASAPPLE,NECKSPLE,NECKSPWI,NECKSPDE,FLTOTLEN,LNASAPPL,HLTOTLEN,LNESPLE,LNESPWI,LNESPDE,LHLTOTL,LFLTOTL,TAILCRES,LFRINGLE,LTAILCRE,FLAPLEN,TAILFLAP,LFLAPLEN,LTAILFLA,FLAPWID,XDEWLEN,LFLAPWID,LDEWLEN,BCRESTHE,HEAFLHEI,NECKFLLE,NECKFLWI,HEAFLAP,TAIFLWI,LBCRTHE,LHEAFLHE,LNEFLLE,LNEFLWI,LHEAFLAP,LTAIFLWI,ID,NAME$,A,CLADE,DROP,Burbrink
Aelurascalab,1,111779,107,25.325,11.9,14.55,17.85,11.5,7.13,3.48,13.75,5.275,6.55,77,16.65,16.1,7.85,12.625,13.925,7.1,4.7,6.2,1.475,2.225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111779,Aelurascalab,,1,,
Coleonyx,1,179900,66,12.325,5.4,9.05,9.1,5.8,3.8,2.73,7.725,3.15,4.275,58.5,8.625,9.1,8.425,7.6,7.6,5.7,3.4,4.375,0.975,1.375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,Coleonyx,,1,,
Eublepharis,1,86398,151,29.925,17.85,28.5,27.9,18.575,7.65,3.73,23.05,.,.,.,24.175,23.625,22.125,18.65,20.675,13.775,9.825,10.225,3.15,5.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86398,Eublepharus,,1,,
Goniurosauru,1,117872,86,19.25,9.625,14.4,17.25,10.65,4.48,3.13,13.375,.,.,.,15,14.425,13.925,11.525,12.475,9,5.325,6.675,0.7,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117872,Goniurosauru,,1,,
Hemitheconyx,1,154299,99,20.475,11.85,16.95,20.325,11.875,5.63,3.55,15.675,7.15,7.575,60,13.9,13.7,10.85,11.15,11.9,9.45,5,5.3,2.1,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154299,Hemitheconyx,,1,,
Holodactylus,1,198849,70,15.8,9.225,12.8,13.85,9.7,4.48,2.5,11,4.55,6.9,22,9.25,10.725,11.45,7.55,9.225,10.225,5.25,5.8,1.425,2.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198849,Holodactylus,,1,,
Afroedura,2,69205,41,10.425,3.8,7.7,9.025,4.1,2.48,1.75,7.575,1.925,3.5,48,7.225,5.725,5.175,5.625,5,3.7,3,4.425,0.85,0.9,1.35,0.300104592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69205,Afroedura,,2,,
Agamura,2,141220,60,15.4,8.475,11.8,11.475,8.925,4.95,3.65,9.225,1.925,1.925,57,15.825,16.9,12.475,11.05,14.675,8.45,6.025,6.975,1.4,1.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141220,Agamura,,2,,
Ailuronyx,2,167549,109,24.4,13.625,21.075,26.875,21.15,5.1,5.08,23.1,.,.,.,16.625,14.625,18.05,11.525,11.275,13.825,8.775,11.325,1.05,1.65,4.4,1.481604541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167549,Ailuronyx,,2,,
Alsophylax,2,216124,34,8.1,3.825,5.575,6.1,4.05,2,1.95,4.675,1.875,2.1,38.5,5.75,5.4,6.3,4.25,4.625,4.275,3.175,3.875,0.625,0.625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216124,Alsophylax,,2,,
